title,creator,contributor,subject_local,subject_lcsh,description,normalized_date,dimension,genre,format,source_id,identifier,source_collection,copyright_status,rights_holder,filename
Labor History - 10: Two Cents an Hour,Fred Wright,James Lerner,"Average Work Day, Politics and Legislation",Hours of labor--United States.; Labor unions--United States--History--19th century.; Labor unions--United States--Periodicals.,"This cartoon depicts the first declaration of the 10-hour day for government projects and the fight against this by private businesses.  Out of this, both employers and workers created labor newspapers. Caption 1:  Labor's movement for a shorter work day (shorter than 12 hours) in the 1840's had its first big victory with the declaration by Pres. Martin Van Buren setting a 10-hour day on all government projects. But private employers fought hard to stop the movement. New York leather curriers and dealers agreed not to hire anyone known to be a member of a society which would set ""the direction of terms or prices for which workmen shall engage themselves."" Among the weapons workers developed then was the first labor press.  Caption 2:  Employers had been sponsoring papers which printed such propaganda as the ""Song of the Factory Girl"" in New England: ""Oh. sing me the song of the Factory Girl! So merry and glad and free! The bloom in her cheeks, of health how it speaks. Oh, happy a creature is she! She tends the loom, she watches the spindle, And cheerfully toileth away, And her bosom is very gay.""  Caption 3:  To combat this kind of ""Works News"" girls working in New England mills started what is thought to be the first labor papers. In New Hampshire they set up in 1842, The Factory Girl. Then came the weekly Voice of Industry in Lowell, Mass. Writing to this paper a girl complained of working from 6 a.m. until 10 p.m. for $1.56 a week. ""Here am I, a healthy New England girl, quite well behaved, bestowing just half of all my hours, including Sundays, upon a company for less than 2 cents an hour."" UE News, Vol. XXXII, Issue No. 17",1970-08-24,,Publication plate,Comic strips,ue13.3.1.010,ue13.3.1.010,ue13.3.1,copyrighted,,20080924-fredwright-0010.tif
Labor History - 11: Large Scale Immigration,Fred Wright,James Lerner,"Average Work Day, Economy",Industrial revolution--United States.; Alien labor--United States.; Wages--United States.; Labor unions--United States--History--19th century.,"In the mid 1800s, labor suffered setbacks due to increases in the use of machinery and large scale immigration.  Wages dropped dramatically, affecting the lives of many workers and immigrants. Caption 1:  Machinery was rapidly taking over from hand production in the 1840's. The shoemakers (Lynn, Mass.) who had their little shops in season and could dig clams out of season were being swallowed by factories; power looms displaced hand-loom weavers; power presses replaced hand printing. This was accompanied by severe earning slashes. Hatters pay, for example, dropped from $12 to $8 a week between 1835 and 1845.  Caption 2:  Millions of immigrants were arriving. Only one million had come in the first 50 years of the nation; from 1846 to 1855 about three million came. They were refugees from famines as in Ireland; from suppressed revolutions as in Germany. Employers took advantage of this to provide themselves with cheap labor. An 1850 budget said about $11 a week was the minimum needed for a N.Y. family. Average weekly earnings were $1 a person.  Caption 3:  Slums grew in this misery. N.Y. had 18,000 living in cellars; from 6 to 20 persons in a single room. A Boston study (1849) told of people ""huddled together like brutes..."" sometimes wife, husband, brothers and sisters in the same beds."" A tremendous protest movement for a shorter work day, for decent living conditions was growing. Refugees from unsuccessful European revolutions responded eagerly to native leaders who sought to curb capital's greed. UE News, Vol. XXXII, Issue No. 18",1970-09-07,,Publication plate,Comic strips,ue13.3.1.011,ue13.3.1.011,ue13.3.1,copyrighted,,20080924-fredwright-0011.tif
Labor History - 12: Ten Hour Day,Fred Wright,James Lerner,"Average Work Day, Politics and Legislation, Businesses",Hours of labor--United States.; Labor laws and legislation--United States.; Labor unions--United States--History--19th century.,"This cartoon depicts labor's victory in gaining the 10-hour work day through various state legislations.  Employers, however, resisted this by blacklisting workers who would not work the longer hours. Caption 1:  Defeated time and again workers kept returning to the demand for a 10-hour day to ease their hardships and enable them to get needed leisure time for recreation and education. A meeting of New Jersey workingmen resolved that ""we hold the doctrine that masses were created to toil and the few to think in abhorrence"" (1847). And in Nashville, Tenn. carpenters declared: ""We are flesh and blood, we need hours for recreation.""  Caption 2:  To some legislation was the only way to cut hours. Others thought arrangements with individual employers the answer. Then there were those who proposed a general strike hroughout New England starting on July 4. Meanwhile New Hampshire passed a state 10-hour law (1847). Pennsylvania followed a year later and other states followed a few years later. But the laws did not stop employers from blacklisting any who wouldn't work longer hours.  Caption 3:  To this employers answered as did a Chicopee, Mass. mill manager: ""It is not the hours per day that a person works that breaks him down, but the hours spent in dissipation."" He saw shorter hours as reducing wages and increasing dissipation. Even among workers some felt that they could get a shorter day only with a reduction in earnings. But others felt that reducing hours would result in a greater demand for labor and therefore higher wages. UE News, Vol. XXXII, Issue No. 19",1970-09-21,,Publication plate,Comic strips,ue13.3.1.012,ue13.3.1.012,ue13.3.1,copyrighted,,20080924-fredwright-0012.tif
Labor History - 13: Ten Hour Day II,Fred Wright,James Lerner,"Strikes, Average Work Day",Strikes and lockouts--Pennsylvania.; Strikebreakers--Pennsylvania.; Hours of labor--Pennsylvania--Law and legislation.; Labor laws and legislation--Pennsylvania.; Labor unions--United States--History--19th century.,"The movement for a 10-hour day spread throughout Pennsylvania and New England.  In this cartoon Wright depicts a three month strike in Western Pennsylvania, which resulted in a 10-hour day. Caption 1:  Western Pennsylvania employers insisted that workers sign contracts agreeing to a 12-hour day although the law set a 10-hour limit. Strikes broke out and when one factory reopened with scabs after three weeks, women strikers, armed with axes, marched on the plant, broke down the gates, overpowered the police and captured the plant. The scabs left but many strikers were arrested and sentenced to jail.  Caption 2:  The strike, lasting from July to September, ended with a 10-hour day established but with a wage cut. The workers did not rest, however, until they had won back the 12-hour pay. Elsewhere, too, workers were relying on their economic strength to win this demand. In 1853, the workers of Media, Pa. signed a contract with all employers for a 10-hour day. They then sent two of their members to spread unionism in New England.  Caption 3:  Meanwhile, groups of workers were holding conventions for the 10-hour day, such as the 1852 Massachusetts state convention. Candidates were asked where they stood on the issue and that year the elections had this as the only issue as politicians were forced to bow to the demand. Public petitions were circulated but still nothing happened as corporations bought influence in the legislature. UE News, Vol. XXXII, Issue No. 21",1970-10-19,,Publication plate,Comic strips,ue13.3.1.013,ue13.3.1.013,ue13.3.1,copyrighted,,20080924-fredwright-0013.tif
Labor History - 14: Ten Hour Day III,Fred Wright,James Lerner,"Politics and Legislation, Average Work Day",Hours of labor--United States.; Working class--United States--Political activity.; Labor unions--United States--History--19th century.,"This cartoon depicts the spread of the 10-hour day through legislation in various states such as New Jersey and Ohio, resulting from pressure on state legislatures. Caption 1:  The 12-hour day was being whittled away slowly in the late 1840's. At Trenton, N.J. the ""Friends of the 10-Hour System"" came into being in 1848. At public meetings, through political action and strikes this was made the major issue. The Democratic Party was persuaded to nominate shoemaker Charles Skelton for Congress in 1851 on a 10-hour day platform. He was elected.  Caption 2:  Pressure on the N.J. state legislature by the Trenton Workingmen's Assn. resulted in passage of a state law the same year setting 10-hours as the normal work day. By the beginning of the Civil War (1861) the 10-hour day had been won for skilled mechanics but most factory workers still labored 11 or more hours. It had taken 30 years of hard work to cut the average work day from 12 1/2 hours.  Caption 3:  During those years Pennsylvania set 12 years of age as the minimum starting age for working in commercial jobs (1848). Ohio came through with a 10-hour day limit for working women. The employers were tough. They held firmly to every minute of labor but while the fight was hard, it was uniting workers and laying the basis for the country's first national unions. UE News, Vol. XXXII, Issue No. 22",1970-11-02,,Publication plate,Comic strips,ue13.3.1.014,ue13.3.1.014,ue13.3.1,copyrighted,,20080924-fredwright-0014.tif
"Labor History - 15: The ""English Conspiracy""",Fred Wright,James Lerner,"Economy, Average Work Day, Strikes",United States--Economic conditons--19th century.; Strikes and lockouts--United States.; Wages--United States.; Labor unions--United States--History--19th century.,"This cartoon shows how as living costs rose in the 1850s and wages remained low, workers began striking.  The press wrote that the strikes were part of an international conspiracy starting in England. Caption 1:  Living costs rose rapidly in the 1850's; wages couldn't keep up. The discovery of gold in California spurred rising costs as huge amounts of money came into the market. It took at least $10.57 to support a family of five for a week in New York in 1851. But daily earnings ranged from 89 cents for blacksmiths to a top of $2 for stone cutters with most skilled men earning far below the top. A woman who earned over $2 was unusual.  Caption 2:  Alongside of these low wages were most miserable living conditions. Unskilled New England workers, for example, lived in unheated shacks with the open door as the only source of light. Editor Horace Greeley (""Go West, Young Man"") commented that workers had no money for  amusements, for a doctor or apothecary, for pew rent in church, for ice cream or books. There was an urgent need for union organization which had been smashed a decade earlier.  Caption 3:  A new wave of strikes broke out. In four years (1850-1854) skilled mechanics won a 25 percent wage increase. Some daily papers charged the strikes as being an international conspiracy which had ""commenced in England"" with the aim of overthrowing government and private property. Others wrote (Trenton Daily Gazette) ""Men should always have a fair compensation for their labor."" From these strikes appeared the first national labor unions. UE News, Vol. XXXII, Issue No. 23",1970-11-16,,Publication plate,Comic strips,ue13.3.1.015,ue13.3.1.015,ue13.3.1,copyrighted,,20080924-fredwright-0015.tif
Labor History - 16: First National Unions,Fred Wright,James Lerner,"Union Organization, Economy",Labor unions--Organizing--United States.; Alien labor--United States.; Women labor union members--United States.; Labor unions--United States--History--19th century.,"This cartoon depicts the first formation of national unions in the 1850s until the depression of 1854 and crisis of 1877 broke them. Caption 1:  From the small local unions of the 1850's there began appearing the first national unions. Among these were the Typographical Union, Molders' Union and Blacksmiths. They were craft unions as was all of the union movement. The organizations didn't last long as the 1854 depression and then the 1857 crisis broke them.  Caption 2:  The unions barred unskilled and a number of them including printers, waiters, shoemakers and tailors also excluded women. Some of the unions learned, however, that this did not help labor as when Cleveland tailors struck only to find employers hiring non-union women tailors to work at lower wages. The union then admitted women.  Caption 3:  Employers were also using the arrival of millions of European immigrants to divide labor. Propagandists blamed foreign born workers for lowering wages by saying they were willing to wear rags and ""feed upon the coarsest, cheapest and roughest fare."" Employer agents would board ships to hire workers at $20 or $30 a year and board. UE News, Vol. XXXII, Issue No. 24",1970-11-30,,Publication plate,Comic strips,ue13.3.1.016,ue13.3.1.016,ue13.3.1,copyrighted,,20080924-fredwright-0016.tif
Labor History - 17: Unemployed Demonstrate,Fred Wright,James Lerner,"Economy, Businesses",United States--Economic conditions--19th century.; Unemployed--United States.; Unemployment--United States.; Labor unions--United States--History--19th century.,"This cartoon depicts the widespread demonstrations that occurred after the crisis of 1857 when tens of thousands unemployed workers called for ""work or bread."" Caption 1:  The sprouting labor movement --national and local-- came to a halt when the panic of 1857 swept the country. Newspapers reported that every ship leaving for Europe was crowded with foreign born workers returning home. Those who remained behind joined native born Americans in demand for relief from starvation. Philadelphia German workers formed an association with this aim in view.  Caption 2:  Other parts of the east were swept by huge demonstrations of unemployed seeking ""work or bread."" Addressing a crowd of 12,000 in New York, carpenter John H. Paul denounced ""the capitalists"" as ""this crew of thieves and robbers who are driving us to starvation...Let there be an organization formed in every ward at once; let us set aside all political and religious considerations.""  Caption 3:  U.S. troops were called out in November, 1857, when 15,000 New Yorkers marched on Wall Street shouting ""we want work."" Some broke into shops of flour merchants to help themselves. The unemployed were denounced as ""ultra-communist radicals...and other foreigners, who though they have changed their soil and allegiance, still keep their nature intact and insist upon having food put in their mouths and labor into their hands."" UE News, Vol. XXXII, Issue No. 25",1970-12-14,,Publication plate,Comic strips,ue13.3.1.017,ue13.3.1.017,ue13.3.1,copyrighted,,20080924-fredwright-0017.tif
Labor History - 18: Lynn Shoemakers' Strike - I,Fred Wright,James Lerner,Strikes,Strikes and lockouts--Footwear industry--Massachusetts--Lynn.; Shoemakers--Massachusetts--Lynn.; Labor unions--United States--History--19th century.,"This cartoon depicts the Lynn Shoemaker's strike of 1860, which was in response to wage cuts after the panic of 1857. Caption 1:  As the unemployed began returning to their jobs after the panic of 1857, they found that employers had cut their wages. Strikes began breaking out. The Grand Association of Pennsylvania called a general strike in Feb., 1859 which was won although ""the bosses"" as a newspaper wrote, ""tried to divide the strikers by embittering the minds of the Germans against the Irish, and the Americans against the Irish.""  Caption 2:  But it was the New England Shoemakers' strike of 1859 which set a new mark for labor action. Their wages reduced to $3 a week, ($1 for women) and days as long as 16 hours, the workers could no longer stand it. After mass meetings to consider demands, the Lynn Mechanics Assn. wrote all manufacturers telling them of a new wage scale and asking for a meeting to consider it. The employers refused to meet.  Caption 3:  Washington's birthday, 1860, was chosen for the strike date because ""it is a fitting occasion for a blow in favor of the cause you are engaged in..."" Three thousand shoemakers met at Lynn Lyceum Hall to set up a committee of 100 to prevent  expressmen from taking unfinished shoes out of the plants. A second committee was formed to visit shops to make sure no one scabbed; a third to help keep order. UE News, Vol. XXXII, Issue No. 26",1970-12-28,,Publication plate,Comic strips,ue13.3.1.018,ue13.3.1.018,ue13.3.1,copyrighted,,20080924-fredwright-0018.tif
Labor History - 19: Lynn Shoemakers' Strike - II,Fred Wright,James Lerner,"Strikes, Scabs",Strikes and lockouts--Footwear industry--Massachusetts--Lynn.; Women in the labor movement--Massachusetts--Lynn.; Strikebreakers--Massachusetts--Lynn.; Labor unions--United States--History--19th century.,"This cartoon depicts various issues regarding the Lynn Shoemakers' Strike: including both women and men's fight for higher wages and the attempt employers made to use scabs. Caption 1:  From the 3,000 Lynn Shoemakers on strike, groups fanned out in 1860 to get support throughout New England. In a few days Mechanics' Associations had been set up in 25 towns and about 20,000 shoeworkers in Mass., New Hampshire and Maine were out against $3-a-week wages. To the newspapers this was ""Revolution at the North."" ""The Rebellion Among the Workmen, Beginning of the Conflict Between Capital and Labor.""  Caption 2:  Weekly wages for women were as low as $1. They were compared to the ""amiable females"" of the French Revolution. Parading in Marblehead they carried such signs as ""American Ladies Will Not Be Slaves,"" ""Weak in Physical Strength But Strong in Moral Courage."" Lynn employers persuaded the mayor to call out the light infantry and import Boston police. 800 people massed at the railroad station to denounce the invaders.  Caption 3:  Attempts to line up Germans and Irish to scab failed; so did appeals for Negro scabs. A Negro minister told his congregation: ""You, my colored brethren, know how to sympathize with labor unrequited."" Many employers agreed to settle but not to recognize the union. Some strikers returned with a 10 percent raise and no contract. Others got signed agreements. After about six weeks the strike was called off and the basis laid for permanent organization. UE News, Vol. XXXIII, Issue No. 1",1971-01-11,,Publication plate,Comic strips,ue13.3.1.019,ue13.3.1.019,ue13.3.1,copyrighted,,20080924-fredwright-0019.tif
